Mls.MLS Freq	Mls.Ch.1 Ampl 	Mls.Ch.1 Phase
Source 1	Data 1	Data 2
Hz	dBV	deg
341.9059888	-22.71571509	-109.8632813
346.5592934	-22.63790624	-111.2255859
351.275929	-22.58655925	-112.2363281
356.0567574	-22.54129954	-113.203125
360.9026525	-22.50161486	-114.1699219
365.8144996	-22.45679447	-115.3564453
370.7931965	-22.42828849	-116.2353516
375.8396529	-22.39552872	-117.3339844
380.9547911	-22.37372292	-118.0810547
386.1395458	-22.34610513	-119.0478516
391.3948644	-22.32534662	-119.7070313
396.7217074	-22.29522212	-120.5419922
402.1210481	-22.26061592	-121.3330078
407.5938733	-22.23081623	-121.9042969
413.1411831	-22.18534795	-122.6074219
418.7639911	-22.13298554	-123.3544922
424.463325	-22.07495132	-124.0576172
430.2402263	-22.01254842	-124.8486328
436.0957505	-21.94823159	-125.6396484
442.0309678	-21.88458263	-126.4746094
448.0469628	-21.82469044	-127.3974609
454.1448349	-21.77127312	-128.3203125
460.3256984	-21.7269923	-129.3310547
466.5906827	-21.68713138	-130.5615234
472.9409329	-21.66902981	-131.5722656
479.3776093	-21.66332136	-132.5390625
485.9018881	-21.66379692	-132.8027344
492.5149618	-21.67636116	-133.9453125
499.2180386	-21.69657821	-134.7802734
506.0123436	-21.72967537	-135.703125
512.8991184	-21.75847477	-136.3183594
519.8796215	-21.79094038	-137.0214844
526.9551285	-21.81326456	-137.5927734
534.1269324	-21.81287751	-138.4277344
541.3963438	-21.78804534	-138.9550781
548.7646912	-21.74944068	-139.5263672
556.2333209	-21.70374176	-140.1855469
563.8035979	-21.65942274	-141.0205078
571.4769056	-21.62583405	-141.9873047
579.2546463	-21.61145156	-143.0859375
587.1382411	-21.61173519	-143.3056641
595.1291308	-21.63701585	-144.6679688
603.2287758	-21.69285551	-145.8105469
611.438656	-21.80117725	-146.9970703
619.7602718	-21.92075637	-147.8320313
628.195144	-22.08572836	-148.5351563
