Mls.MLS Freq	Mls.Ch.1 Ampl 	Mls.Ch.1 Phase
Source 1	Data 1	Data 2
Hz	dBV	deg
193.7900013	-27.32288468	-75.67382813
196.4274628	-27.16834302	-76.55273438
199.1008199	-27.01518197	-77.43164063
201.8105611	-26.86354987	-78.26660156
204.5571817	-26.71383899	-79.14550781
207.3411834	-26.56633038	-80.06835938
210.1630751	-26.49338057	-80.5078125
213.0233725	-26.34986461	-81.38671875
215.9225982	-26.20924326	-82.265625
218.861282	-26.07212621	-83.18847656
221.8399611	-25.93877373	-84.11132813
224.8591796	-25.74612048	-85.47363281
227.9194894	-25.62296896	-86.39648438
231.0214497	-25.50435079	-87.31933594
234.1656274	-25.39010561	-88.2421875
237.352597	-25.28051631	-89.16503906
240.5829408	-25.17549827	-90.08789063
243.8572494	-25.07504457	-90.96679688
247.1761209	-24.93274308	-92.28515625
250.5401619	-24.84333668	-93.1640625
253.9499872	-24.75789654	-94.04296875
257.4062198	-24.63691537	-95.31738281
260.9094914	-24.56077141	-96.10839844
264.4604422	-24.45179065	-97.29492188
268.059721	-24.38257689	-98.0859375
271.7079856	-24.31571717	-98.83300781
275.4059027	-24.21893531	-99.93164063
279.1541481	-24.12498759	-100.9863281
282.9534067	-24.06370967	-101.6455078
286.8043729	-23.97315417	-102.6123047
290.7077502	-23.91305766	-103.2714844
294.6642521	-23.82307559	-104.1943359
298.6746016	-23.73329188	-105.1171875
302.7395316	-23.64299317	-105.9960938
306.8597848	-23.58263911	-106.6113281
311.0361142	-23.49282843	-107.4902344
315.269283	-23.40265864	-108.3691406
319.5600648	-23.3142204	-109.2480469
323.9092437	-23.22712903	-110.1708984
328.3176144	-23.14293191	-111.0498047
332.7859827	-23.06200079	-111.9726563
337.3151649	-22.98524918	-112.8955078
341.9059888	-22.9132326	-113.8183594
346.5592934	-22.82559273	-115.0488281
351.275929	-22.76664561	-115.9716797
356.0567574	-22.71324615	-116.8505859
360.9026525	-22.66561517	-117.7294922
365.8144996	-22.61007329	-118.8720703
370.7931965	-22.57387542	-119.7070313
375.8396529	-22.5313088	-120.7617188
380.9547911	-22.50245287	-121.4648438
386.1395458	-22.46596956	-122.4316406
391.3948644	-22.43878529	-123.046875
396.7217074	-22.40122171	-123.8818359
402.1210481	-22.36041832	-124.6728516
407.5938733	-22.32709171	-125.2441406
413.1411831	-22.27795283	-125.9472656
418.7639911	-22.2236105	-126.6943359
424.463325	-22.16537272	-127.4414063
430.2402263	-22.10492061	-128.2324219
436.0957505	-22.04409131	-129.0234375
442.0309678	-21.98565894	-129.8583984
448.0469628	-21.93203032	-130.78125
454.1448349	-21.88555832	-131.6601563
460.3256984	-21.84787882	-132.6269531
466.5906827	-21.81568404	-133.8134766
472.9409329	-21.80195034	-134.7363281
479.3776093	-21.7983754	-135.3955078
485.9018881	-21.79924485	-135.8349609
492.5149618	-21.81055554	-136.8457031
499.2180386	-21.82633778	-137.5927734
506.0123436	-21.85021079	-138.4277344
512.8991184	-21.86888908	-138.9990234
519.8796215	-21.88663171	-139.6142578
526.9551285	-21.88780283	-140.5371094
534.1269324	-21.86791526	-141.0205078
541.3963438	-21.83428816	-141.5478516
548.7646912	-21.79200214	-142.2070313
556.2333209	-21.74703958	-142.9101563
563.8035979	-21.70756473	-143.7890625
571.4769056	-21.68141102	-144.7558594
579.2546463	-21.67483726	-145.5908203
587.1382411	-21.67731374	-146.0302734
595.1291308	-21.71158066	-147.3046875
603.2287758	-21.77252509	-148.359375
611.438656	-21.88321685	-149.4580078
619.7602718	-22.00107067	-150.1611328
628.195144	-22.16043644	-150.6884766
