//single phase coef Number:=16,    upsample factor:=160,     downsample factor:=147
   -6, -231,   48,  745,-1349, 2804,-4704, 9740,27515,-1733, -426, 1112, -870,  864, -293,  -95,
   -6, -229,   40,  754,-1354, 2795,-4653, 9522,27607,-1603, -496, 1148, -887,  869, -290,  -97,
   -6, -227,   32,  763,-1358, 2784,-4601, 9304,27696,-1471, -566, 1185, -904,  873, -288,  -98,
   -6, -224,   24,  772,-1362, 2773,-4548, 9088,27783,-1336, -636, 1221, -921,  878, -285, -100,
   -5, -222,   16,  780,-1365, 2761,-4493, 8871,27866,-1200, -707, 1258, -937,  882, -282, -102,
   -5, -220,    8,  788,-1368, 2749,-4438, 8655,27947,-1061, -779, 1294, -953,  886, -279, -104,
   -5, -217,    0,  796,-1371, 2735,-4382, 8440,28025, -921, -850, 1331, -969,  889, -276, -106,
   -5, -215,   -7,  804,-1373, 2721,-4325, 8226,28100, -779, -922, 1367, -985,  893, -273, -107,
   -4, -213,  -15,  811,-1374, 2706,-4267, 8013,28172, -634, -994, 1403,-1001,  896, -270, -109,
   -4, -210,  -22,  819,-1376, 2691,-4208, 7800,28242, -488,-1066, 1439,-1016,  899, -267, -111,
   -4, -208,  -30,  826,-1376, 2675,-4148, 7588,28308, -340,-1139, 1474,-1031,  902, -264, -113,
   -4, -205,  -37,  832,-1376, 2658,-4088, 7377,28371, -189,-1211, 1510,-1046,  905, -260, -115,
   -4, -203,  -44,  839,-1376, 2640,-4027, 7166,28432,  -37,-1284, 1545,-1060,  908, -257, -117,
   -3, -201,  -52,  845,-1376, 2622,-3965, 6957,28489,  117,-1357, 1580,-1075,  910, -253, -119,
   -3, -198,  -59,  851,-1374, 2603,-3902, 6748,28544,  273,-1431, 1615,-1089,  912, -249, -121,
   -3, -196,  -66,  857,-1373, 2583,-3839, 6541,28596,  431,-1504, 1650,-1103,  914, -245, -123,
   -3, -194,  -73,  862,-1371, 2563,-3774, 6334,28644,  590,-1577, 1684,-1116,  916, -241, -125,
   -3, -191,  -80,  868,-1368, 2542,-3710, 6129,28690,  752,-1651, 1718,-1129,  918, -237, -127,
   -3, -189,  -86,  873,-1366, 2521,-3644, 5925,28733,  915,-1724, 1752,-1142,  919, -233, -129,
   -3, -187,  -93,  877,-1362, 2499,-3578, 5721,28772, 1080,-1798, 1786,-1155,  920, -229, -131,
   -2, -184,  -99,  882,-1359, 2476,-3511, 5519,28809, 1247,-1871, 1819,-1167,  921, -225, -133,
   -2, -182, -106,  886,-1354, 2453,-3444, 5318,28842, 1415,-1945, 1852,-1180,  922, -220, -135,
   -2, -180, -112,  890,-1350, 2429,-3376, 5118,28873, 1586,-2018, 1885,-1191,  923, -216, -137,
   -2, -177, -119,  894,-1345, 2405,-3308, 4920,28900, 1758,-2092, 1917,-1203,  923, -211, -140,
   -2, -175, -125,  898,-1340, 2380,-3239, 4723,28925, 1931,-2165, 1949,-1214,  923, -207, -142,
   -2, -173, -131,  901,-1334, 2355,-3170, 4527,28946, 2107,-2238, 1981,-1225,  923, -202, -144,
   -2, -171, -137,  904,-1328, 2329,-3100, 4332,28965, 2284,-2311, 2012,-1235,  923, -197, -146,
   -2, -168, -143,  907,-1321, 2302,-3030, 4138,28980, 2462,-2384, 2043,-1246,  922, -192, -148,
   -1, -166, -149,  910,-1314, 2275,-2960, 3946,28992, 2642,-2457, 2074,-1255,  921, -187, -150,
   -1, -164, -154,  912,-1307, 2248,-2889, 3756,29002, 2824,-2530, 2104,-1265,  920, -182, -153,
   -1, -161, -160,  914,-1299, 2220,-2818, 3566,29008, 3008,-2602, 2133,-1274,  919, -176, -155,
   -9, -159, -166,  916,-1291, 2192,-2746, 3379,29011, 3192,-2674, 2163,-1283,  918, -171, -157,
