//single phase coef Number:=28,    upsample factor:=160,     downsample factor:=147
   -1, -137, -112,  163, -256,  395, -588,  850,-1209, 1717,-2481, 3791,-6714,21168,19903,-6593, 3762,-2477, 1723,-1220,  862, -601,  407, -268,  174, -126, -129,   -1,
   -1, -135, -115,  165, -258,  398, -591,  853,-1212, 1719,-2482, 3788,-6694,20918,20159,-6622, 3771,-2480, 1723,-1219,  861, -598,  405, -266,  172, -123, -131,   -1,
   -1, -134, -118,  168, -261,  400, -593,  856,-1215, 1721,-2483, 3784,-6672,20666,20413,-6648, 3778,-2482, 1722,-1217,  858, -596,  403, -263,  170, -120, -132,   -1,
   -1, -132, -120,  170, -263,  403, -596,  858,-1217, 1722,-2482, 3778,-6648,20413,20666,-6672, 3784,-2483, 1721,-1215,  856, -593,  400, -261,  168, -118, -134,   -1,
   -1, -131, -123,  172, -266,  405, -598,  861,-1219, 1723,-2480, 3771,-6622,20159,20918,-6694, 3788,-2482, 1719,-1212,  853, -591,  398, -258,  165, -115, -135,   -1,
   -1, -129, -126,  174, -268,  407, -601,  862,-1220, 1723,-2477, 3762,-6593,19903,21168,-6714, 3791,-2481, 1717,-1209,  850, -588,  395, -256,  163, -112, -137,   -1,
   -1, -128, -128,  176, -270,  409, -602,  864,-1220, 1722,-2474, 3752,-6562,19645,21416,-6731, 3792,-2479, 1714,-1206,  847, -584,  392, -253,  160, -109, -138,   -1,
    0, -126, -131,  178, -272,  411, -604,  865,-1221, 1720,-2469, 3741,-6529,19387,21663,-6745, 3793,-2476, 1710,-1202,  843, -581,  389, -250,  158, -106, -140,   -2,
    0, -125, -134,  180, -274,  413, -606,  866,-1220, 1718,-2464, 3728,-6494,19127,21908,-6757, 3791,-2472, 1705,-1198,  839, -577,  385, -247,  155, -103, -141,   -2,
    0, -123, -136,  182, -275,  415, -607,  866,-1220, 1716,-2457, 3714,-6456,18866,22151,-6767, 3788,-2468, 1700,-1193,  834, -573,  382, -245,  153, -101, -143,   -2,
    0, -122, -139,  184, -277,  416, -608,  867,-1219, 1712,-2450, 3698,-6417,18604,22393,-6774, 3784,-2462, 1694,-1187,  829, -569,  378, -241,  150,  -98, -144,   -2,
    0, -120, -141,  185, -279,  417, -609,  867,-1217, 1708,-2442, 3682,-6375,18341,22632,-6779, 3778,-2455, 1688,-1181,  824, -564,  374, -238,  147,  -95, -146,   -2,
    0, -119, -144,  187, -280,  419, -609,  866,-1215, 1704,-2433, 3664,-6331,18077,22870,-6781, 3771,-2447, 1681,-1175,  819, -560,  370, -235,  144,  -92, -147,   -2,
    0, -117, -146,  189, -281,  419, -609,  865,-1212, 1698,-2423, 3644,-6285,17812,23105,-6780, 3762,-2438, 1673,-1168,  813, -555,  366, -231,  141,  -89, -149,   -2,
    0, -116, -148,  190, -282,  420, -609,  864,-1210, 1692,-2412, 3624,-6237,17546,23339,-6777, 3752,-2429, 1664,-1161,  807, -550,  362, -228,  139,  -86, -150,   -3,
    0, -114, -151,  192, -284,  421, -609,  863,-1206, 1686,-2401, 3602,-6187,17279,23570,-6771, 3741,-2418, 1655,-1153,  800, -544,  358, -224,  136,  -83, -151,   -3,
    0, -113, -153,  193, -285,  421, -609,  861,-1202, 1679,-2388, 3579,-6136,17011,23800,-6763, 3727,-2406, 1645,-1145,  793, -539,  353, -221,  132,  -80, -153,   -3,
    0, -111, -155,  194, -285,  422, -608,  859,-1198, 1671,-2375, 3555,-6082,16743,24027,-6752, 3713,-2394, 1635,-1137,  786, -533,  348, -217,  129,  -76, -154,   -3,
    0, -110, -157,  195, -286,  422, -608,  857,-1193, 1663,-2360, 3529,-6026,16474,24252,-6738, 3697,-2380, 1624,-1127,  779, -527,  343, -213,  126,  -73, -156,   -3,
    0, -108, -160,  197, -287,  422, -606,  854,-1188, 1654,-2345, 3502,-5969,16205,24474,-6721, 3679,-2365, 1612,-1118,  771, -520,  338, -209,  123,  -70, -157,   -4,
    1, -107, -162,  198, -287,  422, -605,  851,-1183, 1645,-2330, 3475,-5910,15934,24694,-6702, 3660,-2350, 1599,-1108,  763, -514,  333, -205,  120,  -67, -159,   -4,
    1, -106, -164,  199, -288,  421, -604,  848,-1177, 1635,-2313, 3446,-5849,15664,24912,-6680, 3639,-2333, 1586,-1097,  755, -507,  328, -201,  116,  -64, -160,   -4,
    1, -104, -166,  200, -288,  421, -602,  844,-1170, 1624,-2295, 3415,-5786,15393,25128,-6655, 3617,-2316, 1572,-1086,  746, -500,  322, -197,  113,  -61, -162,   -4,
    1, -103, -168,  201, -289,  420, -600,  840,-1164, 1613,-2277, 3384,-5722,15121,25340,-6628, 3593,-2297, 1558,-1075,  737, -493,  317, -192,  109,  -57, -163,   -5,
    1, -101, -170,  201, -289,  420, -598,  836,-1156, 1601,-2258, 3352,-5656,14850,25551,-6597, 3568,-2278, 1543,-1063,  728, -486,  311, -188,  106,  -54, -164,   -5,
    1, -100, -172,  202, -289,  419, -596,  832,-1149, 1589,-2238, 3318,-5588,14578,25758,-6564, 3541,-2257, 1527,-1051,  718, -478,  305, -183,  102,  -51, -166,   -5,
    1,  -98, -174,  203, -289,  418, -593,  827,-1141, 1576,-2218, 3284,-5519,14306,25964,-6528, 3512,-2236, 1511,-1038,  708, -471,  299, -179,   99,  -48, -167,   -5,
    1,  -97, -176,  203, -289,  417, -590,  822,-1132, 1562,-2197, 3248,-5449,14033,26166,-6489, 3483,-2214, 1494,-1025,  698, -463,  293, -174,   95,  -44, -169,   -6,
    1,  -96, -178,  204, -288,  415, -587,  816,-1124, 1549,-2175, 3211,-5376,13761,26366,-6447, 3451,-2190, 1476,-1011,  687, -454,  287, -169,   91,  -41, -170,   -6,
    1,  -94, -180,  204, -288,  414, -584,  811,-1114, 1534,-2152, 3173,-5303,13489,26563,-6403, 3418,-2166, 1457, -997,  676, -446,  280, -164,   87,  -38, -171,   -6,
    1,  -93, -181,  205, -287,  412, -581,  805,-1105, 1519,-2128, 3135,-5228,13216,26757,-6355, 3384,-2141, 1439, -982,  665, -437,  274, -159,   84,  -34, -173,   -6,
    1,  -91, -183,  205, -287,  410, -577,  799,-1095, 1504,-2104, 3095,-5151,12944,26948,-6304, 3348,-2115, 1419, -967,  653, -429,  267, -154,   80,  -31, -174,   -7,
    1,  -90, -185,  205, -286,  408, -574,  792,-1085, 1488,-2079, 3055,-5073,12672,27136,-6251, 3311,-2088, 1399, -952,  642, -420,  260, -149,   76,  -28, -176,   -7,
    1,  -89, -186,  205, -285,  406, -570,  786,-1074, 1471,-2054, 3013,-4994,12400,27322,-6195, 3272,-2060, 1378, -936,  630, -410,  253, -144,   72,  -24, -177,   -7,
    1,  -87, -188,  205, -285,  404, -565,  779,-1063, 1454,-2028, 2970,-4914,12128,27504,-6135, 3231,-2031, 1356, -920,  617, -401,  246, -139,   68,  -21, -178,   -8,
    1,  -86, -190,  205, -284,  402, -561,  771,-1051, 1437,-2001, 2927,-4832,11856,27683,-6073, 3189,-2001, 1334, -903,  605, -391,  239, -133,   64,  -18, -180,   -8,
